,ISBN,bookAuthor,category,yearOfPublication,publisher,bookTitle,imageUrlS,imageUrlM,imageUrlL
1092,006109868X,Barbara Kingsolver,popularization of science,1999,Perennial,Pigs in Heaven,http://images.amazon.com/images/P/006109868X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/006109868X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/006109868X.01.LZZZZZZZ.jpg
1093,425184498,Josie Lloyd,popularization of science,2002,Berkley Publishing Group,The Boy Next Door,http://images.amazon.com/images/P/0425184498.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425184498.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425184498.01.LZZZZZZZ.jpg
1094,316777722,David Sedaris,popularization of science,2000,"Little, Brown",Me Talk Pretty One Day,http://images.amazon.com/images/P/0316777722.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316777722.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316777722.01.LZZZZZZZ.jpg
1095,99143712,Fannie Flagg,popularization of science,1992,Vintage Books USA,Fried Green Tomatoes at the Whistle Stop Cafe,http://images.amazon.com/images/P/0099143712.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0099143712.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0099143712.01.LZZZZZZZ.jpg
1096,671679430,Mary McGarry Morris,popularization of science,1989,Washington Square Press,Vanished,http://images.amazon.com/images/P/0671679430.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671679430.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671679430.01.LZZZZZZZ.jpg
1097,345417941,John Irving,popularization of science,1997,Ballantine Books,The Cider House Rules,http://images.amazon.com/images/P/0345417941.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345417941.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345417941.01.LZZZZZZZ.jpg
1098,1569471169,Barbara Gowdy,popularization of science,1998,Soho Press,Falling Angels,http://images.amazon.com/images/P/1569471169.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1569471169.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1569471169.01.LZZZZZZZ.jpg
1099,067944999X,Kathryn Harrison,novel,1997,Random House Inc,The Kiss,http://images.amazon.com/images/P/067944999X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067944999X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067944999X.01.LZZZZZZZ.jpg
1100,679744398,CORMAC MCCARTHY,novel,1993,Vintage,"All the Pretty Horses (The Border Trilogy, Vol 1)",http://images.amazon.com/images/P/0679744398.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679744398.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679744398.01.LZZZZZZZ.jpg
1101,156028778,Michel Faber,novel,2003,Harvest Books,The Crimson Petal and the White,http://images.amazon.com/images/P/0156028778.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0156028778.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0156028778.01.LZZZZZZZ.jpg
1102,451196856,Jacquelyn Mitchard,novel,1999,Signet Book,The Most Wanted,http://images.amazon.com/images/P/0451196856.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451196856.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451196856.01.LZZZZZZZ.jpg
1103,385471432,Dorothy West,novel,1995,Doubleday Books,The Wedding,http://images.amazon.com/images/P/0385471432.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385471432.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385471432.01.LZZZZZZZ.jpg
1104,679429883,Richard North Patterson,novel,1994,Random House Inc,Eyes of a Child,http://images.amazon.com/images/P/0679429883.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679429883.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679429883.01.LZZZZZZZ.jpg
1105,553106341,Tami Hoag,novel,2000,Bantam Books,Dust to Dust,http://images.amazon.com/images/P/0553106341.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553106341.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553106341.01.LZZZZZZZ.jpg
1106,399139710,Robin Cook,novel,1995,Putnam Publishing Group,Acceptable Risk,http://images.amazon.com/images/P/0399139710.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399139710.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399139710.01.LZZZZZZZ.jpg
1107,446667900,Michael Connelly,novel,2002,Warner Vision,A Darkness More Than Night,http://images.amazon.com/images/P/0446667900.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446667900.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446667900.01.LZZZZZZZ.jpg
1108,446604232,Sandra Brown,novel,1997,Warner Books,Exclusive,http://images.amazon.com/images/P/0446604232.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446604232.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446604232.01.LZZZZZZZ.jpg
1109,446611085,James Patterson,novel,2003,Warner Books,Suzanne's Diary for Nicholas,http://images.amazon.com/images/P/0446611085.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446611085.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446611085.01.LZZZZZZZ.jpg
1110,055356773X,Diane Mott Davidson,history,1994,Crimeline,The Cereal Murders,http://images.amazon.com/images/P/055356773X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055356773X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055356773X.01.LZZZZZZZ.jpg
1111,312042779,Diane Mott Davidson,history,1990,St. Martin's Press,Catering to Nobody,http://images.amazon.com/images/P/0312042779.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312042779.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312042779.01.LZZZZZZZ.jpg
1112,312198493,Jennifer Crusie,history,1999,St Martins Pr,Crazy for You,http://images.amazon.com/images/P/0312198493.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312198493.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312198493.01.LZZZZZZZ.jpg
1113,067164257X,Ariel Jennifer Jones,history,1987,Pocket,GARDEN OF SHADOWS (Dollanger Saga (Paperback)),http://images.amazon.com/images/P/067164257X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067164257X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067164257X.01.LZZZZZZZ.jpg
1114,553107240,Diane Mott Davidson,history,2001,Bantam Books,Sticks &amp; Scones,http://images.amazon.com/images/P/0553107240.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553107240.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553107240.01.LZZZZZZZ.jpg
1115,399142401,Nora Roberts,history,1997,Putnam Publishing Group,Sanctuary,http://images.amazon.com/images/P/0399142401.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399142401.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399142401.01.LZZZZZZZ.jpg
1116,670032379,Sue Monk Kidd,history,2002,Viking Books,The Secret Life of Bees,http://images.amazon.com/images/P/0670032379.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670032379.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670032379.01.LZZZZZZZ.jpg
1117,425186326,Patricia Kay,history,2002,Berkley Publishing Group,Family Album,http://images.amazon.com/images/P/0425186326.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425186326.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425186326.01.LZZZZZZZ.jpg
1118,440224594,MAEVE BINCHY,history,1999,Dell,The Return Journey,http://images.amazon.com/images/P/0440224594.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440224594.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440224594.01.LZZZZZZZ.jpg
1119,670878847,Jacquelyn Mitchard,history,1998,Viking Books,The Most Wanted,http://images.amazon.com/images/P/0670878847.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670878847.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670878847.01.LZZZZZZZ.jpg
1120,804117683,Jane Smiley,history,1998,Ivy Books,Moo,http://images.amazon.com/images/P/0804117683.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804117683.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804117683.01.LZZZZZZZ.jpg
1121,385491034,MARGARET ATWOOD,history,1998,Anchor,The Robber Bride,http://images.amazon.com/images/P/0385491034.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385491034.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385491034.01.LZZZZZZZ.jpg
1122,446677388,James Patterson,history,2000,Warner Books,Kiss the Girls,http://images.amazon.com/images/P/0446677388.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446677388.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446677388.01.LZZZZZZZ.jpg
1123,670839809,Terry McMillan,history,1992,Viking Books,Waiting to Exhale,http://images.amazon.com/images/P/0670839809.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670839809.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670839809.01.LZZZZZZZ.jpg
1124,688067700,Earl W. Emerson,history,1987,Harpercollins,Fat Tuesday,http://images.amazon.com/images/P/0688067700.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0688067700.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0688067700.01.LZZZZZZZ.jpg
1125,399145672,Dave Barry,history,1999,Putnam Publishing Group,Big Trouble,http://images.amazon.com/images/P/0399145672.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399145672.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399145672.01.LZZZZZZZ.jpg
1126,140280456,Nuruddin Farah,history,1999,Penguin Books,Secrets,http://images.amazon.com/images/P/0140280456.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140280456.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140280456.01.LZZZZZZZ.jpg
1127,345419081,KATHERINE NEVILLE,history,1997,Ballantine Books,The Eight,http://images.amazon.com/images/P/0345419081.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345419081.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345419081.01.LZZZZZZZ.jpg
1128,679432477,RICHARD RUSSO,history,2001,Knopf,Empire Falls,http://images.amazon.com/images/P/0679432477.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679432477.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679432477.01.LZZZZZZZ.jpg
1129,60198133,Joanne Harris,history,2001,William Morrow &amp; Company,Five Quarters of the Orange,http://images.amazon.com/images/P/0060198133.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060198133.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060198133.01.LZZZZZZZ.jpg
1130,449209105,Chaim Potok,history,1985,Fawcett,The Promise,http://images.amazon.com/images/P/0449209105.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449209105.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449209105.01.LZZZZZZZ.jpg
1131,449910571,Anne Tyler,history,1996,Ballantine Books,Ladder of Years,http://images.amazon.com/images/P/0449910571.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449910571.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449910571.01.LZZZZZZZ.jpg
1132,312284683,Jennifer Crusie,history,2002,St. Martin's Press,Faking It,http://images.amazon.com/images/P/0312284683.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312284683.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312284683.01.LZZZZZZZ.jpg
1133,515126772,Nora Roberts,history,2004,Jove Books,Jewels of the Sun (Irish Trilogy),http://images.amazon.com/images/P/0515126772.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515126772.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515126772.01.LZZZZZZZ.jpg
1134,590433466,Frances H. Burnett,history,1997,Scholastic,The Secret Garden,http://images.amazon.com/images/P/0590433466.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590433466.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590433466.01.LZZZZZZZ.jpg
1135,055310666X,Dean R. Koontz,history,1999,Bantam Books,False Memory,http://images.amazon.com/images/P/055310666X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055310666X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055310666X.01.LZZZZZZZ.jpg
1136,553801430,DEAN KOONTZ,history,2002,Bantam,By the Light of the Moon,http://images.amazon.com/images/P/0553801430.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553801430.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553801430.01.LZZZZZZZ.jpg
1137,671014188,Jude Deveraux,history,2001,Atria,The Summerhouse,http://images.amazon.com/images/P/0671014188.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671014188.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671014188.01.LZZZZZZZ.jpg
1138,345447832,TESS GERRITSEN,history,2001,Ballantine Books,The Surgeon,http://images.amazon.com/images/P/0345447832.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345447832.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345447832.01.LZZZZZZZ.jpg
1139,373785070,Hannah Alexander,history,2003,Steeple Hill,Hideaway,http://images.amazon.com/images/P/0373785070.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373785070.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373785070.01.LZZZZZZZ.jpg
1140,1551669676,Sharon Sala,history,2003,Mira,Remember Me,http://images.amazon.com/images/P/1551669676.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551669676.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551669676.01.LZZZZZZZ.jpg
1141,373218974,Nora Roberts,history,2003,Silhouette,Temptation,http://images.amazon.com/images/P/0373218974.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373218974.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373218974.01.LZZZZZZZ.jpg
1142,440170796,Danielle Steel,economics,1978,Dell,The Promise,http://images.amazon.com/images/P/0440170796.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440170796.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440170796.01.LZZZZZZZ.jpg
1143,670844527,Stephen King,economics,1992,Viking Books,Dolores Claiborne,http://images.amazon.com/images/P/0670844527.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670844527.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670844527.01.LZZZZZZZ.jpg
1144,380731479,Kathryn Harrison,economics,1998,William Morrow,The Kiss,http://images.amazon.com/images/P/0380731479.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380731479.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380731479.01.LZZZZZZZ.jpg
1145,553582941,DEAN KOONTZ,economics,2000,Bantam,Sole Survivor,http://images.amazon.com/images/P/0553582941.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582941.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582941.01.LZZZZZZZ.jpg
1146,553123904,Jeffrey Konvitz,economics,1979,Bantam Books,The Guardian,http://images.amazon.com/images/P/0553123904.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553123904.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553123904.01.LZZZZZZZ.jpg
1147,345396065,Lorenzo Carcaterra,economics,1995,Ballantine Books,Sleepers,http://images.amazon.com/images/P/0345396065.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345396065.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345396065.01.LZZZZZZZ.jpg
1148,067942525X,DEAN KOONTZ,economics,1996,Knopf,Intensity,http://images.amazon.com/images/P/067942525X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067942525X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067942525X.01.LZZZZZZZ.jpg
1149,385299087,Danielle Steel,economics,1991,Delacorte Press,Heartbeat,http://images.amazon.com/images/P/0385299087.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385299087.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385299087.01.LZZZZZZZ.jpg
1150,425140032,Dean R. Koontz,economics,1995,Berkley Publishing Group,Dragon Tears,http://images.amazon.com/images/P/0425140032.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425140032.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425140032.01.LZZZZZZZ.jpg
1151,312134517,Rosamunde Pilcher,economics,1995,St Martins Pr,Coming Home,http://images.amazon.com/images/P/0312134517.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312134517.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312134517.01.LZZZZZZZ.jpg
1152,385319800,Belva Plain,economics,1997,Delacorte Press,Homecoming,http://images.amazon.com/images/P/0385319800.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385319800.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385319800.01.LZZZZZZZ.jpg
1153,312203039,Janet Evanovich,economics,1999,St. Martin's Press,High Five (A Stephanie Plum Novel),http://images.amazon.com/images/P/0312203039.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312203039.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312203039.01.LZZZZZZZ.jpg
1154,553153277,L.M. Montgomery,economics,1984,Skylark,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),http://images.amazon.com/images/P/0553153277.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553153277.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553153277.01.LZZZZZZZ.jpg
1155,312201656,Dodie Smith,economics,1999,St. Martin's Griffin,I Capture the Castle,http://images.amazon.com/images/P/0312201656.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312201656.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312201656.01.LZZZZZZZ.jpg
1156,451519167,Jane Austen,economics,1961,Signet Book,Pride and Prejudice,http://images.amazon.com/images/P/0451519167.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451519167.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451519167.01.LZZZZZZZ.jpg
1157,553268120,James Herriot,economics,1985,Bantam Books,All Creatures Great and Small,http://images.amazon.com/images/P/0553268120.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553268120.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553268120.01.LZZZZZZZ.jpg
1158,449219461,Sue Grafton,economics,1993,Fawcett Books,H Is for Homicide (Kinsey Millhone Mysteries (Paperback)),http://images.amazon.com/images/P/0449219461.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449219461.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449219461.01.LZZZZZZZ.jpg
1159,425152898,John Sandford,economics,2004,Berkley Publishing Group,Mind Prey,http://images.amazon.com/images/P/0425152898.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425152898.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425152898.01.LZZZZZZZ.jpg
1160,399139141,John Sandford,economics,1994,Putnam Pub Group,Night Prey,http://images.amazon.com/images/P/0399139141.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399139141.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399139141.01.LZZZZZZZ.jpg
1161,316678104,Anita Shreve,economics,2001,Back Bay Books,Fortune's Rocks : A Novel,http://images.amazon.com/images/P/0316678104.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316678104.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316678104.01.LZZZZZZZ.jpg
1162,671741195,Mary Higgins Clark,cartoon,1991,Pocket,The Cradle Will Fall,http://images.amazon.com/images/P/0671741195.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671741195.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671741195.01.LZZZZZZZ.jpg
1163,345386132,Richard North Patterson,cartoon,1996,Ballantine Books,Eyes of a Child,http://images.amazon.com/images/P/0345386132.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345386132.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345386132.01.LZZZZZZZ.jpg
1164,385301499,Maeve Binchy,romance,1991,Bantam Dell Pub Group,Circle of Friends,http://images.amazon.com/images/P/0385301499.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385301499.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385301499.01.LZZZZZZZ.jpg
1165,385335121,Maeve Binchy,romance,1999,Bantam Doubleday Dell Pub (Trd),Tara Road,http://images.amazon.com/images/P/0385335121.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385335121.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385335121.01.LZZZZZZZ.jpg
1166,553204343,James Herriot,romance,1981,Bantam Books,All Creatures Great and Small,http://images.amazon.com/images/P/0553204343.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553204343.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553204343.01.LZZZZZZZ.jpg
1167,670220264,Stephen King,romance,1983,Viking Books,Christine,http://images.amazon.com/images/P/0670220264.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670220264.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670220264.01.LZZZZZZZ.jpg
1168,446691798,Nicholas Sparks,romance,2003,Warner Books,Nights in Rodanthe,http://images.amazon.com/images/P/0446691798.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446691798.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446691798.01.LZZZZZZZ.jpg
1169,739302213,JOHN GRISHAM,popularization of science,2003,Random House Audio,The King of Torts,http://images.amazon.com/images/P/0739302213.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0739302213.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0739302213.01.LZZZZZZZ.jpg
1170,743422449,Jodi Picoult,popularization of science,2001,Washington Square Press,Mercy,http://images.amazon.com/images/P/0743422449.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743422449.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743422449.01.LZZZZZZZ.jpg
1171,440206529,Belva Plain,popularization of science,1990,Dell,Blessings,http://images.amazon.com/images/P/0440206529.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440206529.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440206529.01.LZZZZZZZ.jpg
1172,312978383,Rosamunde Pilcher,popularization of science,2001,St. Martin's Paperbacks,Winter Solstice,http://images.amazon.com/images/P/0312978383.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312978383.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312978383.01.LZZZZZZZ.jpg
1173,055358264X,Luanne Rice,popularization of science,2002,Bantam Books,Dream Country,http://images.amazon.com/images/P/055358264X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055358264X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055358264X.01.LZZZZZZZ.jpg
1174,425158632,Tom Clancy,popularization of science,1997,Berkley Publishing Group,Executive Orders (Jack Ryan Novels),http://images.amazon.com/images/P/0425158632.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425158632.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425158632.01.LZZZZZZZ.jpg
1175,425132048,John Sandford,popularization of science,2004,Berkley Publishing Group,Eyes of Prey,http://images.amazon.com/images/P/0425132048.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425132048.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425132048.01.LZZZZZZZ.jpg
1176,61083259,Dinah McCall,popularization of science,1996,HarperTorch,Dreamcatcher,http://images.amazon.com/images/P/0061083259.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061083259.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061083259.01.LZZZZZZZ.jpg
1177,446606189,James Patterson,popularization of science,1998,Warner Books,Cat &amp; Mouse (Alex Cross Novels),http://images.amazon.com/images/P/0446606189.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446606189.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446606189.01.LZZZZZZZ.jpg
1178,385315236,Nicholas Evans,popularization of science,1995,Delacorte Press,The Horse Whisperer,http://images.amazon.com/images/P/0385315236.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385315236.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385315236.01.LZZZZZZZ.jpg
1179,743225422,Annie Proulx,popularization of science,2001,Scribner,The Shipping News : A Novel,http://images.amazon.com/images/P/0743225422.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743225422.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743225422.01.LZZZZZZZ.jpg
1180,374199698,Jeffrey Eugenides,popularization of science,2002,"Farrar, Straus and Giroux",Middlesex: A Novel,http://images.amazon.com/images/P/0374199698.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374199698.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374199698.01.LZZZZZZZ.jpg
1181,1573220876,Nick Hornby,popularization of science,1998,Riverhead Books,About a Boy,http://images.amazon.com/images/P/1573220876.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573220876.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573220876.01.LZZZZZZZ.jpg
1182,044041833X,PHILIP PULLMAN,popularization of science,2001,Yearling,"The Subtle Knife (His Dark Materials, Book 2)",http://images.amazon.com/images/P/044041833X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044041833X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044041833X.01.LZZZZZZZ.jpg
1183,425047075,Dean R. Koontz,popularization of science,1981,Berkley Publishing Group,Whispers,http://images.amazon.com/images/P/0425047075.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425047075.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425047075.01.LZZZZZZZ.jpg
1184,345384377,DEAN KOONTZ,popularization of science,1997,Ballantine Books,Sole Survivor,http://images.amazon.com/images/P/0345384377.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345384377.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345384377.01.LZZZZZZZ.jpg
1185,446602620,Michael Connelly,popularization of science,1998,Warner Books,Blood Work,http://images.amazon.com/images/P/0446602620.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446602620.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446602620.01.LZZZZZZZ.jpg
1186,670896764,Terry McMillan,popularization of science,2001,Viking Books,A Day Late and a Dollar Short,http://images.amazon.com/images/P/0670896764.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670896764.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670896764.01.LZZZZZZZ.jpg
1187,449911535,Margaret Atwood,popularization of science,1996,Ballantine Books,The Handmaid's Tale,http://images.amazon.com/images/P/0449911535.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449911535.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449911535.01.LZZZZZZZ.jpg
